date,fact
22-11-1986,"Mike Tyson, 20, knocks out Trevor Berbick, 33, to become the youngest heavyweight boxing champion ever. Tyson toppled his opponent in 5 minutes and 30 seconds, breaking 21-year-old Floyd Patterson's record when he won the heavyweight title in 1956."
23-11-2002,"John Herrington becomes the first American Indian in space when he embarks on a mission to the International Space Station. To honor his Chickasaw heritage, he brings with him an eagle feather and a traditional wooden flute."
24-11-1954,"President Eisenhower’s plane, Columbine III, is officially christened Air Force One—for safety. A year earlier, Columbine II (call sign Air Force 8610) almost collided midair with a commercial plane numbered 8610, with the president on board."
25-11-1952,"Agatha Christie's ""The Mousetrap,"" opens at the Ambassadors Theater in London's West End. The classic whodunit murder mystery, the world's longest-running play, is still being performed today."
26-11-1983,"In the then-biggest heist in history, six gunmen break into the Brinks-Mat depot near London's Heathrow Airport, expecting to steal £1 million in currency. Instead, they stumbled on a motherlode of gold bullion worth £26 million."
27-11-2015,"His Holiness drops a prog-rock album entitled Pope Francis: Wake Up! It features excerpts of the pontiff sermonizing on topics like peace, the environment and family, backed by sacred hymns reimagined with guitar riffs and synth."
28-11-1929,"A month after the stock market crashes, footballer Ernie Nevers lights up the gridiron, scoring a record 40 points in one game. Playing for the Chicago Cardinals versus the Chicago Bears, he ran for six touchdowns and kicked four extra points."
29-11-2004,"On his 50th birthday, Godzilla gets a star on the Hollywood Walk of Fame. The Japanese movie monster, a mutant born of nuclear radiation fallout, has loomed larged in pop culture ever since he clomped onto screens in 1954."
30-11-1954,"While napping on her couch, Ann Hodges of Sylacauga, Alabama, is hit by a 8.5-lb., 4.5-billion-year-old meteorite that tore through her roof, ricocheted off her radio cabinet and hit her torso. She’s the only known human injured by a meteorite."
01-12-1992,"Police in Lilly, Pennsylvania are called to a video store after a passerby reports a gunman inside—and come face-to-face with a cardboard cutout of a gun-toting Denzel Washington. Cops use the experience as a training day."
02-12-1942,"The first nuclear chain reaction takes place, a milestone for developing atomic weapons for the top-secret Manhattan Project. One unsung contributor: Chinese-born female physicist Chien-Shiung Wu, the only Asian American to work on the project."
03-12-1847,"Escaped slave-turned-abolitionist Frederick Douglass publishes his first antislavery newspaper, The North Star. The title referred to Polaris, the bright star that helped guide those fleeing slavery to the North—and freedom."
04-12-1967,"An impromptu jam session breaks out between Elvis Presley, Jerry Lee Lewis, Carl Perkins and Johnny Cash at Memphis' Sun Studios. The press dubs it the “Million Dollar Quartet.”"
05-12-1492,"Christopher Columbus lands on and names the island of Hispaniola. Convinced he has reached the Indies and found the gold-rich biblical land of Ophir, he has in fact done neither."
06-12-1957,"Two months after Sputnik reached orbit, the first US attempt to launch a satellite ends in spectacular failure when the rocket rises four feet before crashing down into the launch pad and exploding. Press dubs the attempt “Flopnik” and “Kaputnik.”"
07-12-1909,"The US Patent Office grants Belgian-born chemist Leo Baekeland a patent for ""a method of making insoluble products of phenol and formaldehyde""—the first synthetic plastic. Named Bakelite, after its inventor, it would be marketed as ""the material of 1000 uses."""
08-12-1985,"One of the first personal computer shops opens in in Mission Valley, California. The Byte Shop sells the first 50 Apple-1 computers, which retail for $666.66. Collectors now pay hundreds of thousands of dollars for them."
09-12-1965,"""A Charlie Brown Christmas"" airs for the first time. CBS executives, unhappy with the music, the pacing and Linus reading a Bible verse, almost refuse to air it. Good grief!"
10-12-1999,Egyptian-born chemist Ahmed Zewail becomes the first Arab American to win the Nobel Prize in a science category. His groundbreaking work involved using ultrafast lasers to view and study chemical reactions at the atomic level as they occur.
11-12-1934,"After a 13-year struggle with the bottle, stockbroker Bill Wilson takes his last drink of the hard stuff The following year, he would found Alcoholics Anonymous, the groundbreaking program that treated alcoholism not as a moral failing, but as a disease."
12-12-1899,"George F. Grant, an African American dentist from Boston, receives US Patent number 638,920 for the world’s first golf tee. Neither a marketer nor an inventor, Grant gives away a few copies of his creation but makes no money from it before he dies."
13-12-1950,"One of Hollywood's brightest—and briefest—careers kicks off when James Dean features as a carousel-riding extra in a TV commercial for Pepsi-Cola. Five years later, movie roles in ""East of Eden"" and ""Rebel Without a Cause"" would make him famous."
14-12-1542,"Mary Stuart becomes Queen of Scotland at just 6 days old. Catholic in a Protestant country, she is forced to abdicate in 1567 in favor of her own infant son. She flees to England, where cousin Elizabeth I jails her for 19 years before executing her."
15-12-1836,"A devastating fire devours the building temporarily housing the US patent office. In all, some 10,000 patent drawings and 7,000 patent models—the earliest records of innovation in the young nation—were lost in the conflagration."
16-12-1707,"Mount Fuji erupts, raining 28 billion cubic feet of ash on fields up to 60 miles away and causing widespread starvation. Fuji remains an active volcano."
17-12-1943,"Congress passes the Magnuson Act, allowing Chinese immigrants to become naturalized US citizens and vote. It repealed the 1882 Chinese Exclusion Act, one of America’s most discriminatory laws, but still imposed strict immigration quotas."
18-12-1975,"George and Kathy Lutz move into a house in Amityville, N.Y., site of a 1974 massacre; 28 days later, they flee in terror, citing oozing green slime, red-eyed pigs and more. Their much-disputed tale inspires the book and movie ""The Amityville Horror."""
19-12-1973,"An innocent joke about a toilet paper shortage by ""Tonight Show"" host Johnny Carson causes panic buying of bathroom tissue across the US. Carson later issues a clarification, wiping the slate clean."
20-12-1880,"A section of Broadway between Union Square and Madison Square is illuminated by Brush arc lamps, making it one of the first electrically lighted streets in the US—and earning it the nickname “The Great White Way.”"
21-12-1913,"The first modern crossword puzzle is published in the ""New York World,"" part of a set of what the paper called ""mental exercises."" Clues included: ""sunk in mud,"" ""the fibre of the gomuti palm"" and ""such and nothing more."""
22-12-2001,"The world’s first cloned cat—CC, or Copy Cat—is born in a biomedical lab in Texas. CC, who lives for 18 years, has all the physical attributes and indifference toward humanity of any other kitty. Her birth kickstarted a global pet-cloning industry."
23-12-1975,"US President Gerald Ford signs the Metric Conversion Act, declaring the metric system “the preferred system of weights and measures” in the country. Fifty years later, the US is still miles away from widely adopting metric measures."
24-12-1971,"Lightning strikes LANSA flight 508, exploding it over the Amazon. Still strapped to her seat, passenger Juliane Koepcke plummets two miles into the jungle; despite numerous injuries, she survives 11 days in the rainforest before being rescued."
25-12-1950,"Four Scottish students brazenly steal the Stone of Destiny, an ancient symbol of Scotland that had been seized by England’s King Edward I in 1296, from Westminster Abbey. Recovered four months later, it returned permanently to Edinburgh in 1996."
26-12-1862,"The US Navy formally commissions its first hospital ship, the Red Rover. A captured Confederate side-wheel steamer, it treats 374 patients in its first seven months of service on the Mississippi, 332 of whom are discharged; 37 die and five desert."
27-12-1935,"Shattering an almost 2,000-year-old glass ceiling, Regina Jonas becomes the first woman ordained as a rabbi. Few male colleagues would grant her the pulpit, but as many fled Germany during WWII, she stepped into the void. She died at Auschwitz."
28-12-1917,"Writer and satirist H.L. Mencken publishes a history of the bathtub, including a claim that bathing was unlawful in Boston between 1845 and 1862. The story—a spoof designed to test reader gullibility—was widely repeated by newspapers and historians."
29-12-1851,"Young man, there’s no need to feel down, as the first YMCA in the US opens at the Old South Church in Boston. Today, you can get yourself clean and have a good meal at almost 2,700 locations nationwide."
30-12-1968,"In a college gym in Spokane, Washington, a concertgoer makes the first live (bootleg) recording of rock band Led Zeppelin, five nights into their first US tour. An opening act for Vanilla Fudge, they were mistakenly billed as ""Len Zefflin."""
31-12-1967,"In one of the most iconic motorcycle stunts ever, Evel Knievel attempts his longest jump—141 feet—over the Caesars Palace fountain in Las Vegas. He missed the landing at 90 mph, sustaining serious injuries. But his global fame soared."
